No.,Bout ID,Boxer,Date,Venue,ID,WeeklyID,lnRPurse,RPurse,Purse,RichA,Losers,DOB,Age,,weight,,RDS,TFights,Wins,KO,Losses,L-KO,Draws,OTFights,OWins,OKO,,OLosses,OL-KO,ODraws,,,,,NeverKO,ORecentKO,ORecentKOsq,Debut,ODebut,WinPerDiff,Rematch,Unify,W-Title,T-Belt,R-Title,R-Belt,Eliminator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,"Gamboa, Yuriorkis",2009.01.09,Buffalo Bills Arena,757,1,10.68095941,43519.28299,37998,0,0,81.12.23,27.10365297,,126,,10,12,12,10,0,0,0,29,27,18,,2,2,0,,,,,0,3,9,0,0,6.896551724,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,"Gonzalez, Roger",2009.01.09,Buffalo Bills Arena,868,1,10.03915815,22906.09137,20000,0,0,78.05.15,30.66666667,,127,,10,29,27,18,2,2,0,12,12,10,,0,0,0,,,,,0,1,1,0,0,-6.896551724,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,"Lara, Erislandy",2009.01.09,Buffalo Bills Arena,1191,1,8.142038168,3435.913706,3000,0,0,83.04.11,25.75,,154,,4,2,2,1,0,0,0,8,5,3,,3,1,0,,,,,0,4,16,0,0,37.5,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,"Bogere, Sharif",2009.01.09,Buffalo Bills Arena,232,1,7.448890987,1717.956853,1500,0,0,88.10.08,20.25,,135,,4,4,4,2,0,0,0,3,1,1,,2,0,0,,,,,0,1,1,0,0,66.66666667,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4,"Frazier, Johnny D.",2009.01.09,Buffalo Bills Arena,728,1,7.043425879,1145.304569,1000,0,0,78.02.04,30.91666667,,139,,4,1,1,1,0,0,0,3,2,1,,1,1,0,,,,,0,1,1,0,0,33.33333333,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4,"Gonzalez, Joel",2009.01.09,Buffalo Bills Arena,855,1,7.448890987,1717.956853,1500,0,0,77.07.03,31.5,,146,,4,3,2,1,1,1,0,1,1,1,,0,0,0,,,,,0,3,9,0,0,-33.33333333,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5,"Gonzales, Brandon G.",2009.01.09,Buffalo Bills Arena,839,1,7.528933695,1861.119924,1625,0,0,84.05.24,24.66666667,,163,,6,5,5,5,0,0,0,8,6,2,,2,0,0,,,,,0,3,9,0,0,25,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6,"Morales, Alvaro",2009.01.09,Buffalo Bills Arena,1551,1,7.448890987,1717.956853,1500,0,1,83.07.14,25.5,,299,,4,9,3,0,2,0,4,4,4,2,,0,0,0,,,,,0,3,9,0,0,-66.66666667,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,7,"Ayala, Elvin Lee",2009.01.23,Plaza Hotel,136,2,8.42972024,4581.218274,4000,0,0,81.01.15,28,,160,,8,22,18,8,3,1,1,32,20,13,,10,3,2,,,,,0,1,1,0,0,19.31818182,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,7,"Bartinelli, Anthony",2009.01.23,Plaza Hotel,173,2,8.296188848,4008.56599,3500,0,0,79.12.05,29.15296804,,161,,8,32,20,13,10,3,2,22,18,8,,3,1,1,,,,,0,4,16,0,0,-19.31818182,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
